geoid,doc,dentist,pop
17031080201,1,0,3287
17031080202,0,4,3498
17031080300,13,7,4315
17031080400,6,3,4317
17031081000,9,1,7546
17031081100,2,2,3640
17031081201,2,5,4059
17031081202,0,1,2995
17031081300,1,13,4884
17031081401,243,28,2279
17031081402,0,2,4243
17031081403,5,17,6229
17031081500,4,10,4379
17031081600,0,2,3545
17031081700,0,2,3102
17031081800,7,15,6866
17031081900,0,0,1053
17031090100,0,1,3405
17031090200,0,9,6564
17031090300,0,1,1372
17031100100,2,18,5313
17031100200,4,7,6749
17031100300,0,1,6177
17031100400,52,3,3066
17031100500,0,0,5779
17031100600,3,14,4832
17031100700,0,4,4826
17031110100,4,6,5254
17031110200,6,16,2828
17031110300,0,2,5161
17031110400,2,3,4352
17031110501,1,2,4639
17031110502,5,2,3214
17031120100,0,3,4198
17031120200,13,24,4430
17031120300,3,10,6365
17031120400,0,0,3515
17031130100,13,21,5133
17031130200,2,0,1412
17031130300,4,4,5064
17031140100,1,3,3729
17031140200,1,1,5965
17031140301,2,0,2891
17031140302,0,0,4345
17031140400,1,6,6805
17031140500,3,1,3679
17031140601,0,3,2786
17031140602,1,1,5397
17031140701,2,4,2933
17031140702,1,3,6187
17031140800,2,5,6825
17031150200,1,4,7540
17031150300,5,6,7198
17031150401,5,8,4793
17031150402,0,4,3886
17031150501,0,0,3648
17031150502,0,0,4205
17031150600,9,6,4163
17031150700,3,0,4608
17031150800,0,0,5280
17031151001,1,0,2819
17031151002,0,1,4567
17031151100,5,5,5458
17031151200,2,2,3884
17031160100,3,3,2485
17031160200,0,2,3443
17031160300,1,1,3785
17031160400,1,2,4768
17031160501,0,0,4188
17031160502,0,1,3550
17031160601,0,1,3490
17031160602,0,0,3589
17031160700,2,1,5893
17031160800,1,3,5148
17031160900,0,0,2405
17031161000,1,2,1707
17031161100,0,5,1861
17031161200,0,0,2930
17031161300,2,3,4117
17031170100,5,1,1752
17031170200,2,2,3892
17031170300,0,0,5129
17031170400,6,6,3870
17031170500,0,1,4980
17031170600,0,0,2498
17031170700,1,2,2980
17031170800,2,4,3721
17031170900,0,2,1713
17031171000,8,7,7287
17031171100,0,2,4110
17031180100,2,6,6156
17031190100,0,0,2488
17031190200,0,0,5853
17031190300,3,4,5794
17031190401,6,9,4257
17031190402,2,2,5458
17031190601,0,0,4545
17031190602,1,1,5516
17031190701,0,3,2955
17031190702,4,0,4869
17031190800,0,0,6632
17031190900,0,0,2040
17031191000,0,0,2559
17031191100,3,1,7414
17031191200,5,1,3853
17031191301,0,0,5397
17031191302,1,0,5034
17031200100,0,1,4354
17031200200,0,0,5427
17031200300,1,1,2209
17031200401,0,0,3603
17031200402,1,1,4396
17031210100,0,1,4028
17031210400,0,1,3035
17031210501,1,4,3900
17031210502,0,2,4486
17031210601,0,0,3104
