geoid,pop
17043844306,5350
17043844307,3386
17043844401,3442
17043844402,4711
17043844501,2999
17043844502,3153
17043844601,3764
17043844602,4499
17043844701,4253
17043844702,5609
17043844801,4203
17043844802,3218
17043844901,3253
17043844902,4133
17043845000,5254
17043845100,6345
17043845200,4854
17043845300,3328
17043845401,3179
17043845402,2960
17043845502,4963
17043845505,4507
17043845506,3854
17043845507,3519
17043845508,3508
17043845509,3452
17043845510,3254
17043845601,4434
17043845602,4734
17043845701,3915
17043845702,4791
17043845703,4772
17043845704,4754
17043845802,3668
17043845803,5427
17043845805,3861
17043845807,6197
17043845808,3873
17043845809,3942
17043845810,4161
17043845811,3838
17043845901,3371
17043845902,3411
17043846002,4074
17043846003,4280
17043846004,3415
17043846102,4397
17043846103,5490
17043846104,4452
17043846105,3351
17043846106,3636
17043846201,5853
17043846202,5985
17043846203,4254
17043846205,3653
17043846206,4189
17043846207,5455
17043846208,3287
17043846209,3689
17043846304,6239
17043846305,5802
17043846307,4785
17043846308,3345
17043846310,4539
17043846311,5368
17043846312,4330
17043846313,4869
17043846314,3216
17043846315,4315
17043846404,5931
17043846405,3716
17043846408,4156
17043846409,4517
17043846410,4886
17043846411,3956
17043846412,4725
17043846413,3660
17043846504,6270
17043846507,2823
17043846509,4343
17043846510,3179
17043846511,6485
17043846513,2843
17043846514,4139
17043846515,5407
17043846517,6065
17043846518,3932
17043846519,3083
17043846521,5240
17043846522,3343
17043846523,2651
17043846524,4669
17043846603,4261
17043846604,3846
17043846701,4163
17043846702,4126
17089850101,6768
17089850103,5542
17089850105,6904
17089850106,7835
17089850201,4101
17089850202,6977
17089850301,7902
17089850302,4969
17089850400,2305
17089850500,3603
17089850600,7261
17089850701,18585
17089850800,7184
17089851000,6360
17089851101,4465
17089851102,3767
17089851301,3960
17089851302,3486
17089851400,7134
17089851500,1254
17089851600,6771
17089851801,7526
17089851904,7423
17089851905,11676
17089851907,7345
17089851908,5140
17089851909,4153
17089851910,3922
17089852001,4278
17089852002,6956
17089852003,7926
17089852101,7021
17089852102,8917
17089852201,4722
17089852202,9033
17089852300,2002
17089852401,8405
17089852402,8470
17089852500,6614
17089852601,7386
17089852606,4792
17089852700,7204
17089852803,5005
17089852805,5756
17089852806,6777
17089852807,3022
17089852808,7457
17089852903,5525
17089852904,2483
17089852905,4483
17089852906,5324
17089852907,6411
17089853001,3401
17089853004,2990
17089853005,5370
17089853006,3226
17089853007,5440
17089853008,4400
17089853100,3008
17089853200,6179
17089853300,5189
17089853400,9809
17089853500,7049
17089853600,8837
17089853900,5854
17089854001,4210
17089854002,5932
17089854100,4989
17089854200,6094
17089854301,7714
17089854302,5580
17089854400,14168
17089854501,15186
17089854600,3748
17089854700,2484
17089854800,7760
17089854900,5608
17093890101,18051
17093890201,4389
17093890202,2892
17093890301,6271
17093890302,6075
17097860200,3467
17097860301,3647
17097860302,3016
17097860400,6137
17097860500,4678
17097860600,6977
17097860905,5734
17097860906,8937
17097861007,4370
17097861008,5181
17097861009,5154
17097861010,5695
17097861011,8087
17097861013,3106
17097861014,3749
17097861105,4068
17097861106,8288
17097861107,4236
17097861108,6075
17097861201,7131
17097861202,4069
17097861301,5181
17097861303,4972
17097861304,3482
17097861402,8679
17097861403,2746
17097861404,6076
17097861504,8154
17097861505,3806
